© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Immune response of lymphocytes	4.60E-11	ADORA2A,CCR7,CD226,CD38,CD80,CXCL8,IL12B,IL1B,IL2RA,IL7R,ITGB8,NAMPT,SOCS3	13
Organismal Injury and Abnormalities,Tissue Morphology	Morphology of lesion	4.95E-11	ADORA2A,AIM2,C1QTNF1,CA12,CCL19,CD226,CD38,CXCL3,EBI3,EHF,FSIP1,HPN,IDO1,IL1A,IL1B,MDK,NAMPT,PANX2,PTGES,PTGS2,SLC8A3,SOCS3,THBS1,TNFSF10	24
Infectious Diseases,Organismal Injury and Abnormalities,Respiratory Disease	Viral respiratory infection	5.17E-11	CCL20,CCL4,CCL5,CCR7,CD70,CLEC4E,CXCL10,CXCL8,DDX58,IL1A,IL1B,IRF7,NCF1,S100A12,STAT4	15
Protein Synthesis	Production of protein	5.41E-11	CCR7,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,DDX58,FPR2,IFIT2,IL2RA,IRF4,IRF7,JAK3,PTGS2,RSAD2,SIGLEC1,SIGLEC10,THBS1,TNFSF10	19
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Migration of macrophages	6.20E-11	CCL19,CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL8,IL12B,MDK,PTGS2,VCAN,WNT5A	12
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	T-cell malignant neoplasm	6.41E-11	ADAM19,ADORA2A,AIM2,APOL3,C1QTNF1,CCL19,CCL20,CCL8,CCR7,CD38,CRLF2,CXCL10,CXCL13,CXCL8,EBI3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,MX1,MYO1G,OASL,PAX5,PLXNA4,RSAD2,STAT4,TNFSF10,ZBP1	37
Cell-To-Cell Signaling and Interaction,Inflammatory Response	Immune response of phagocytes	6.47E-11	ADORA2A,CCL19,CCL20,CCL4,CD38,CD80,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,HSH2D,IL1B,ISG15,SIGLEC1,THBS1,WNT5A	17
Cellular Movement	Chemotaxis of leukemia cell lines	6.68E-11	CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CXCL1,CXCL13,CXCL8,FPR2	10
Cell Signaling	Viral life cycle	7.06E-11	APOBEC3A,CCL5,IFIT1,IFITM1,ISG15,ISG20,LAMP3,MX1,OASL,PTGS2,RSAD2	11
Organismal Injury and Abnormalities,Respiratory Disease	Damage of lung	7.36E-11	ADORA2A,AIM2,CCL5,CFB,CMPK2,CXCL10,CXCL8,CYP2E1,HSH2D,IL12B,IL1A,IL1B,JAK3,NAMPT,NCF1,PTGS2,SOCS3,TNFAIP6	18
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Transmigration of phagocytes	7.39E-11	ADORA2A,CCL19,CCL4,CCL5,CCR7,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,SOCS3	12
Cell Signaling,Molecular Transport,Vitamin and Mineral Metabolism	Mobilization of Ca2+	7.97E-11	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,PTGIR,WNT5A	19
Cellular Movement	Cell movement of tumor cell lines	8.15E-11	ANGPTL4,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CEMIP,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,EHF,ENPP2,EREG,FPR2,FSIP1,IFIT2,IL1A,IL1B,ISG15,MDK,MX1,NAMPT,PAX5,PDPN,PTGS2,SNAI1,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WFDC21P,WNT5A	41
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Expansion of lymphocytes	8.17E-11	ADORA2A,CCR7,CD70,CD80,IL15RA,IL1B,IL27,IL2RA,IL7R,JAK3,LAG3,MDK,SIGLEC10,SLAMF1,STAT4	15
Cellular Movement,Hematological System Development and Function,Hypersensitivity Response,Immune Cell Trafficking	Cell movement of eosinophils	8.79E-11	CCL19,CCL4,CCL5,CRLF2,CXCL10,CXCL2,CXCL8,IL12B,IL1B,IL27,IRF7,PTGIR	12
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Expansion of T lymphocytes	8.91E-11	ADORA2A,CCR7,CD70,CD80,IL15RA,IL1B,IL27,IL2RA,IL7R,JAK3,LAG3,MDK,SLAMF1,STAT4	14
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Transmigration of leukocytes	8.91E-11	ADORA2A,CCL19,CCL4,CCL5,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,IL1B,SOCS3	14
Gastrointestinal Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Inflammatory Bowel Disease	9.14E-11	ADORA2A,CD80,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,HS3ST3B1,IDO1,IL12B,IL1A,IL1B,IL2RA,ITGB8,JAK3,PAX5,PDE4B,PTGS2,SLAMF1,SOCS3,STAT4,ZBP1	23
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Differentiation of helper T lymphocytes	9.25E-11	CCL5,CD80,CLEC4E,CXCL1,DDX58,IL12B,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,RSAD2,SOCS2,SOCS3,STAT4	16
Organismal Injury and Abnormalities,Respiratory Disease	Lung injury	1.22E-10	ADORA2A,AIM2,CCL5,CFB,CMPK2,CXCL10,CXCL8,CYP2E1,HSH2D,IL1A,IL1B,JAK3,NAMPT,NCF1,PTGS2,SOCS3,TNFAIP6	17
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of PBMCs	1.27E-10	CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL8,FPR2	10
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Non-Hodgkin lymphoma	1.43E-10	ADAM19,ADORA2A,AIM2,APOBEC3A,C1QTNF1,CCL19,CCL20,CCL5,CCL8,CCR7,CD38,CD70,CXCL10,CXCL13,CXCL8,DDX58,EBI3,IDO1,IFI44L,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,MX1,MYO1G,OASL,PAX5,PLXNA4,PTGS2,RSAD2,SIGLEC10,SLC8A3,STAT4,TRAF1	42
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Polyarticular juvenile rheumatoid arthritis	1.44E-10	CCL20,CCL4,CCL5,CD80,FPR2,IL1B,JAK3,PTGS2,S100A12,SLC1A2,THBS1	11
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Migration of granulocytes	1.46E-10	ADORA2A,CCL19,CCL4,CCL5,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,PDE4B,SOCS3	14
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Binding of mononuclear leukocytes	1.58E-10	CCL19,CCL20,CCL4,CCL5,CCR7,CD80,CXCL10,CXCL13,CXCL8,IL1A,IL1B,IL7R,JAK3,MYO1G,THBS1	15
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Generation of helper T lymphocytes	1.62E-10	DDX58,IL12B,IL1A,IL1B,IL27,IRF4,JAK3,SOCS2,SOCS3,STAT4	10
Humoral Immune Response,Protein Synthesis	Production of antibody	1.66E-10	CCR7,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,FPR2,IFIT2,IL2RA,IRF4,IRF7,JAK3,PTGS2,RSAD2,SIGLEC1,SIGLEC10,THBS1,TNFSF10	18
Cancer,Organismal Injury and Abnormalities,Reproductive System Disease	HER2 negative hormone receptor negative breast cancer	1.68E-10	CEMIP,CMPK2,CXCL10,CXCL2,CXCL8,EPSTI1,HPN,IFI44L,IL1A,IL1B,MT1E,MT1M,MT1X,MX1,PTGS2,RSAD2,THBS1,TNFSF10,VCAN	19
Cancer,Organismal Injury and Abnormalities	Lymphoreticular neoplasm	1.79E-10	ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,APOBEC3A,BCL2L14,C1QTNF1,CCL19,CCL20,CCL5,CCL8,CCR7,CD38,CD70,CD80,CXCL10,CXCL13,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,FPR2,HAPLN3,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MN1,MX1,MYO1G,NAMPT,NSUN7,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLC8A3,SNAI1,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A	64
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Chronic small plaque psoriasis	1.82E-10	CCL20,CXCL10,CXCL8,IL12B,IL2RA,S100A12	6
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Chronic large plaque psoriasis	1.82E-10	CCL20,CXCL10,CXCL8,IL12B,IL2RA,S100A12	6
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of macrophages	1.82E-10	CCL4,CCL5,CXCL10,IL12B,IL1B,VCAN	6
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Juvenile arthritis	1.85E-10	CCL20,CCL4,CCL5,CD80,FPR2,IL12B,IL1A,IL1B,JAK3,PDE4B,PTGS2,S100A12,SLC1A2,THBS1,TRAF1	15
Cellular Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Maturation of dendritic cells	2.01E-10	CCL19,CCL20,CCL5,CD80,DDX58,IL12B,IL1A,IL1B,IL2RA,SOCS2,THBS1,TNFSF10	12
Organismal Injury and Abnormalities,Respiratory Disease	Acute respiratory disorder	2.08E-10	ADORA2A,CA12,CCL5,CCR7,CLEC4E,CMPK2,CXCL10,CXCL8,IL1A,IL1B,JAK3,NAMPT,NCF1,PDE4B,PTGIR,PTGS2,S100A12,STAT4,TNFAIP6	19
Cellular Movement	Transmigration of cells	2.28E-10	ADORA2A,CCL19,CCL4,CCL5,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,IL1B,ISG15,SOCS3	15
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of CD4+ T-lymphocytes	2.31E-10	ADORA2A,CCL19,CCL4,CCL5,CCR7,CRLF2,IL12B,IL15RA,IRF7,LAG3	10
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities,Psychological Disorders	Severe alcoholic hepatitis	2.32E-10	ADORA2A,CXCL10,IFIT2,IFIT3,IRF7,ISG15,PDE4B	7
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of mononuclear leukocytes	2.87E-10	CCL19,CCL4,CCL5,CXCL10,CXCL13,CXCL8,FPR2,IL1B	8
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Attraction of neutrophils	3.11E-10	CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8	7
Organismal Injury and Abnormalities,Reproductive System Disease	Abortion	3.32E-10	CCR7,CXCL10,CXCL13,CXCL8,EREG,GBP4,GBP5,IFIT2,IL12B,IL1B,IL2RA,ITGB8,MX1,MX2,PTGS2,WNT5A	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of monocytes	3.37E-10	CCL20,CCL23,CCL4,CCL5,CCL8,CXCL10,CXCL3,CXCL8,FPR2,IL1B,S100A12	11
Organismal Injury and Abnormalities,Respiratory Disease	Lower respiratory tract disorder	3.42E-10	ADAM19,ADORA2A,CA12,CCL5,CXCL3,CXCL8,CYP2E1,IL1B,IL2RA,IL7R,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,PDE4B,PDPN,PTGIR,PTGS2,WNT5A	22
Cellular Movement	Migration of myeloid cells	3.43E-10	ADORA2A,CCL19,CCL4,CCL5,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,MDK,PDE4B,SOCS3	15
Hematological System Development and Function,Inflammatory Response,Tissue Morphology	Quantity of neutrophils	3.52E-10	ADORA2A,CLEC4E,CRLF2,CXCL2,IL1A,IL1B,IL2RA,IRF4,JAK3,MDK,PDE4B,PLAC8,PTGIR,SERPINB2,SOCS3,THBS1,TNFSF10	17
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Influx of leukocytes	3.62E-10	ADORA2A,CCL4,CXCL1,CXCL2,CXCL3,CXCL5,IL12B,IL1B,IRF4,IRF7	10
Organismal Injury and Abnormalities,Reproductive System Disease	Early missed abortion	3.72E-10	CCR7,CXCL10,CXCL13,EREG,GBP4,GBP5,IFIT2,IL12B,IL1B,IL2RA,ITGB8,MX1,MX2,WNT5A	14
Infectious Diseases,Organismal Injury and Abnormalities	Replication of Hepatitis C virus	4.51E-10	CYP2E1,DDX58,IFI27,IFIT1,IFITM1,ISG15,MAP1LC3A,RSAD2,SOCS2,SOCS3	10
Infectious Diseases,Organismal Injury and Abnormalities	Replication of HIV-1	4.64E-10	CCL4,CCL5,CD38,CXCL8,HERC5,IL1B,IL27,IRF7,PTGS2,S100A12,SOCS3,TNFSF10	12
Humoral Immune Response,Protein Synthesis	Quantity of immunoglobulin	4.85E-10	CCR7,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,FPR2,IFIT2,IL2RA,IRF4,JAK3,PTGS2,RSAD2,SIGLEC1,SIGLEC10,THBS1,TNFSF10	17
Cellular Development	Maturation of cells	4.90E-10	ADORA2A,CCL19,CCL20,CCL5,CD80,DDX58,EREG,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,PTGS2,SOCS2,THBS1,TNFSF10,UNC13A,WNT5A	22
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Abnormality of skin morphology	5.12E-10	CCL19,CCL20,CCL4,CD226,CFB,CXCL1,CXCL8,EBI3,FPR2,IFI27,IFIT1,IFITM1,IL12B,IL1A,IL1B,ITGB8,JAK3,MX1,PTGIR,PTGS2,THBS1	21
Cellular Development,Cellular Growth and Proliferation	Expansion of blood cells	5.18E-10	ADORA2A,CCR7,CD70,CD80,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,JAK3,LAG3,MDK,SIGLEC10,SLAMF1,STAT4	16
Cellular Development,Cellular Growth and Proliferation	Cell proliferation of tumor cell lines	5.31E-10	AIM2,ANGPTL4,APOBEC3A,CCL20,CD38,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL8,DDX58,EHF,EREG,ETV7,FPR2,FSIP1,G0S2,HPN,IDO1,IFIT1,IFIT2,IFITM1,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,ITGB8,JAK3,KCNJ5,MAP1LC3A,MDK,MT2A,NAMPT,NKX3-1,PANX2,PAX5,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,SERPINB2,SNAI1,SOCS3,THBS1,TNFSF10,VCAN,WFDC21P,WNT5A	53
Cell-To-Cell Signaling and Interaction	Response of myeloid cells	6.16E-10	ADORA2A,CCL20,CCL4,CD38,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,HSH2D,IL1B,IRF4,ISG15,SIGLEC1,THBS1,WNT5A	16
Cellular Movement	Cell movement of progenitor cells	7.34E-10	CCL19,CCL20,CCL4,CCL5,CCL8,CD38,CXCL10,CXCL13,CXCL5,CXCL8,PTGIR	11
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Active stage psoriasis	7.39E-10	CXCL8,G0S2,NAMPT,PTGS2,SERPINB2,TNFAIP6	6
Cellular Movement,Hematological System Development and Function	Cell movement of hematopoietic progenitor cells	8.41E-10	CCL19,CCL20,CCL4,CCL5,CCL8,CD38,CXCL10,CXCL13,CXCL5,CXCL8	10
Organismal Injury and Abnormalities,Renal and Urological Disease	Chronic renal impairment	9.80E-10	ADORA2A,CA12,CD80,CXCL8,IDO1,IL1A,IL1B,IL2RA,PDE4B,PTGIR,PTGS2,SLC2A6,SOCS2,WNT5A	14
Gastrointestinal Disease,Organismal Injury and Abnormalities	Periodontal disease	1.01E-09	CCL4L1/CCL4L2,CCL5,CXCL8,G0S2,IL12B,IL1A,IL1B,IL7R,NKG7,PDE4B,PLAC8,PTGS2,SOCS3	13
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of tumor cell lines	1.08E-09	ADORA2A,AIM2,ANGPTL4,APOBEC3A,BCL2L14,CD226,CEMIP,CXCL8,CYP2E1,DDX58,EHF,ENPP2,EREG,FSIP1,G0S2,GBP5,HPN,HSH2D,IDO1,IL15RA,IL1A,IL1B,IRF4,JAK3,LAG3,MDK,MT1F,MT2A,PAX5,PDE4B,PLXNA4,PRAME,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,TRAF1,VCAN,WNT5A,XAF1	41
Infectious Diseases,Organismal Injury and Abnormalities	Infection by rotavirus	1.10E-09	CCL4,CCL5,CXCL1,CXCL10,CXCL8,PTGS2	6
Cellular Movement	Migration of tumor cells	1.13E-09	CCL19,CCL5,CCR7,CXCL1,CXCL10,CXCL13,CXCL8,ENPP2,NKX3-1,PTGS2,SERPINB2,SNAI1,THBS1,VCAN,WNT5A	15
Cellular Development,Cellular Growth and Proliferation	Proliferation of progenitor cells	1.19E-09	CCL19,CCL20,CCL23,CCL4,CXCL10,CXCL2,CXCL3,CXCL8,IL1A,IL1B,IL27,IL7R,IRF4,JAK3,PTGS2,SOCS2,SOCS3,TNFSF10,WNT5A	19
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Binding of lymphocytes	1.20E-09	CCL19,CCL20,CCL4,CCL5,CCR7,CD80,CXCL10,CXCL13,IL1B,IL7R,JAK3,MYO1G,THBS1	13
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Metabolic Disease,Organ Development,Organismal Injury and Abnormalities,Psychological Disorders	Alcoholic steatohepatitis	1.26E-09	CXCL10,IFIT2,IFIT3,IRF7,ISG15	5
Cellular Movement	Influx of myeloid cells	1.27E-09	ADORA2A,CCL4,CXCL1,CXCL2,CXCL5,IL12B,IL1B,IRF4,IRF7	9
Cell-mediated Immune Response,Lymphoid Tissue Structure and Development	Frequency of T lymphocytes	1.29E-09	CCL19,CCL20,CCR7,CD226,CD70,CRLF2,EBI3,GCH1,IDO1,IL1B,TNFSF10	11
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Renal and Urological Disease	Nephritis	1.31E-09	ADORA2A,AIM2,CCL4,CCL5,CCR7,CD80,CFB,CXCL8,EPSTI1,HERC5,IDO1,IRF7,ISG20,MDK,PDE4B,PTGS2,SIGLEC10,SLC2A6,SNAI1	19
Hematological System Development and Function,Tissue Development	Accumulation of myeloid cells	1.33E-09	CCL5,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,IL12B,IL1B,IRF4,MDK,NCF1,PTGS2,THBS1,TNFSF10	14
Hematological Disease,Organismal Injury and Abnormalities	Hemorrhagic disease	1.41E-09	CCL4,CCL5,CFB,CXCL1,CXCL10,CXCL13,CXCL8,IL12B,IRF7,ISG15,KCNJ5,MX2,PTGIR,PTGS2,SERPINB2,THBS1,TNFSF10	17
Cancer,Organismal Injury and Abnormalities	Extrapancreatic malignant tumor	1.46E-09	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BCL2L14,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1,ZBP1	145
Cancer,Organismal Injury and Abnormalities	Growth of solid tumor	1.49E-09	ADORA2A,CD38,CD70,CD80,CXCL1,CXCL3,CXCL5,GCH1,HPN,IDO1,IL12B,IL1A,IL1B,NKX3-1,PTGES,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,VCAN,WNT5A	22
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Attraction of monocytes	1.60E-09	CCL4,CCL5,CXCL10,CXCL8,FPR2,IL1B	6
Cancer,Organismal Injury and Abnormalities	Growth of tumor	1.61E-09	ADORA2A,AIM2,ANGPTL4,CA12,CCL5,CD226,CD38,CD70,CD80,CXCL1,CXCL3,CXCL5,CXCL8,EHF,EPSTI1,GCH1,HPN,IDO1,IL12B,IL1A,IL1B,IL27,IRF4,ITGB8,LAG3,MAP1LC3A,NAMPT,NKX3-1,PTGES,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,VCAN,WFDC21P,WNT5A	37
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Juvenile rheumatoid arthritis	1.62E-09	CCL20,CCL4,CCL5,CD80,FPR2,IL1A,IL1B,JAK3,PDE4B,PTGS2,S100A12,SLC1A2,THBS1,TRAF1	14
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis	Proliferation of hematopoietic progenitor cells	1.66E-09	CCL20,CCL23,CCL4,CXCL10,CXCL2,CXCL3,CXCL8,IL1A,IL1B,IL27,IL7R,IRF4,JAK3,PTGS2,SOCS2,WNT5A	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Migration of neutrophils	1.83E-09	ADORA2A,CCL19,CCL5,CCR7,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,IL1B,PDE4B,SOCS3	12
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Recruitment of macrophages	2.21E-09	CCL4,CCL5,CLEC4E,CXCL10,CXCL8,IDO1,IL1B,MCOLN2,MDK,SNAI1,THBS1	11
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Priming of leukocytes	2.29E-09	CD38,CD80,CXCL8,IL12B,IL15RA,IL1A,IL1B,IRF4,SIGLEC1	9
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of dendritic cells	2.38E-09	CCL20,CCL4,CCR7,CD80,CLEC4D,CXCL8,DDX58,IDO1,IL1B,STAT4,TNFSF10	11
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Progressive neuromuscular disease	2.40E-09	ADORA2A,CCL5,CD38,CXCL1,EPSTI1,GCH1,IDO1,IFIT1,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,KCNA2,LAG3,MX1,PDE4B,PTGS2,RSAD2	21
Cell Death and Survival,Organismal Injury and Abnormalities	Cell death of tumor cell lines	2.42E-09	ADORA2A,AIM2,ANGPTL4,APOBEC3A,BCL2L14,CD226,CEMIP,CXCL8,CYP2E1,DDX58,EHF,ENPP2,EREG,FSIP1,G0S2,GBP5,HPN,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IRF4,JAK3,LAG3,MCOLN2,MDK,MT1F,MT1X,MT2A,NAMPT,PAX5,PDE4B,PLXNA4,PRAME,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,TRAF1,VCAN,WNT5A,XAF1,ZBP1	46
Organismal Injury and Abnormalities,Reproductive System Disease	Disorder of pregnancy	2.51E-09	ADORA2A,APOL3,CCL20,CCR7,CXCL10,CXCL13,CXCL5,CXCL8,CYP2E1,ENPP2,EREG,GBP4,GBP5,IFIT1,IFIT2,IFITM1,IL12B,IL1A,IL1B,IL2RA,ITGB8,MX1,MX2,PDE4B,PLAC8,PTGIR,PTGS2,SOCS3,THBS1,WNT5A	30
Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation,Hematological System Development and Function	Stimulation of mononuclear leukocytes	2.83E-09	CCL19,CCL20,CCL5,CD70,CD80,CLEC4E,CXCL10,IL12B,IL1B,IL27,SLAMF1,TNFSF10	12
Inflammatory Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Multiple Sclerosis	2.97E-09	CD38,CXCL1,EPSTI1,IDO1,IFIT1,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,KCNA2,LAG3,MX1,PTGS2,RSAD2	16
Cell Signaling,Cellular Function and Maintenance,Molecular Transport,Vitamin and Mineral Metabolism	Flux of Ca2+	3.09E-09	CCL19,CCL20,CCL23,CCL4,CCL5,CD226,CD38,CXCL1,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,FPR2,IL1B,KCNJ5,SLC8A3	17
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of antigen presenting cells	3.17E-09	CCL19,CCL20,CCL4,CCL5,CXCL10,IL12B	6
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Differentiation of phagocytes	3.54E-09	CCL23,CXCL10,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PAX5,PLAC8,SIGLEC10,SOCS3,TNFSF10	17
